gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
CG10417, 0, 34.5, 70.4, 99.7, 50.3, 51.4, 40.1, 52.3, 13.9, 21.3, 12.6, 24.0, 29.0
CG10418, 0, 26.3, 39.0, 40.5, 32.9, 30.2, 34.6, 17.7, 10.8, 7.3, 6.2, 4.14, 4.29
CG10425, 0, 11.3, 7.25, 3.63, 5.13, 8.12, 16.7, 19.9, 12.4, 7.28, 4.33, 7.15, 8.62
CG10428, 0, 13.3, 14.0, 9.29, 9.95, 14.0, 14.3, 12.2, 6.26, 5.16, 3.53, 3.6, 4.19
CG10433, 5, 0.17, 0.0726, 0.122, 0.769, 2.35, 5.07, 4.13, 11.4, 23.2, 77.1, 119.0, 120.0
CG10435, 0, 20.6, 16.0, 12.2, 9.76, 10.2, 9.97, 7.48, 6.66, 6.23, 6.59, 5.46, 6.27
CG10444, 0, 17.6, 11.6, 4.59, 3.19, 4.77, 7.63, 6.89, 5.9, 9.24, 10.4, 7.96, 10.4
CG10465, 0, 27.7, 41.6, 40.1, 24.9, 31.0, 22.3, 38.3, 9.87, 16.7, 9.91, 14.3, 24.5
CG10466, 0, 9.08, 11.4, 12.6, 11.2, 10.8, 7.71, 9.37, 9.26, 6.03, 3.67, 4.36, 4.6
CG10470, 0, 22.4, 11.3, 14.1, 15.7, 19.8, 31.1, 24.6, 14.4, 14.3, 11.2, 9.66, 10.6
CG10472, 5, 0.178, 0.382, 0.545, 0.441, 0.543, 0.478, 0.338, 3.61, 22.6, 79.7, 146.0, 133.0
CG10492, 0, 46.7, 48.9, 18.2, 17.1, 19.2, 11.9, 15.5, 20.1, 15.4, 10.1, 21.1, 16.0
CG10512, 0, 0.291, 0.442, 0.909, 7.63, 15.6, 18.2, 9.34, 3.35, 3.92, 8.83, 24.4, 22.4
CG10516, 0, 4.58, 10.3, 16.1, 23.4, 22.3, 37.5, 28.4, 18.2, 9.98, 4.52, 3.38, 4.27
CG10527, 0, 24.1, 2.25, 0.375, 0.279, 0.37, 1.88, 3.8, 11.8, 9.24, 24.9, 67.8, 52.8
CG10543, 0, 9.02, 7.68, 7.37, 11.0, 9.74, 8.85, 13.1, 15.6, 11.2, 8.47, 5.12, 5.03
CG10555, 0, 24.1, 39.8, 22.4, 18.2, 14.8, 12.2, 11.5, 11.4, 7.67, 4.44, 9.22, 7.08
CG10565, 0, 56.9, 96.6, 90.8, 71.0, 65.3, 63.5, 40.1, 33.5, 29.1, 24.6, 36.3, 33.5
CG10576, 0, 70.5, 15.8, 30.4, 48.6, 61.9, 96.7, 71.1, 56.6, 42.8, 30.5, 44.2, 40.9
CG10585, 0, 12.3, 8.57, 14.6, 10.8, 10.6, 18.2, 34.9, 123.0, 45.9, 16.9, 5.6, 5.67
CG10590, 0, 26.6, 42.3, 40.4, 32.4, 33.7, 44.5, 33.3, 27.8, 18.9, 11.5, 11.6, 12.4
CG10591, 2, 1.05, 2.6, 2.13, 22.0, 38.1, 511.0, 456.0, 128.0, 9.08, 9.36, 3.96, 5.6
CG10598, 3, 0.541, 0.504, 0.0696, 0.0509, 0.685, 0.595, 0.258, 8.79, 66.3, 384.0, 479.0, 283.0
CG10602, 0, 36.4, 23.6, 14.6, 6.7, 7.22, 10.2, 11.9, 9.28, 9.26, 8.23, 11.3, 10.9
CG10616, 0, 17.6, 7.4, 11.6, 13.8, 15.9, 21.8, 17.4, 16.5, 10.1, 6.77, 4.86, 5.12
CG10621, 0, 0.325, 2.45, 7.97, 54.0, 80.0, 102.0, 48.3, 10.8, 6.83, 21.2, 34.7, 40.6
CG10625, 0, 0.0513, 0.0336, 0.0399, 0.045, 0.125, 0.111, 0.168, 3.02, 22.4, 35.5, 38.2, 30.9
CG10635, 0, 56.3, 28.8, 34.4, 30.5, 29.4, 53.6, 33.8, 31.2, 30.8, 25.4, 19.2, 19.7
CG10639, 0, 4.7, 5.37, 7.76, 9.25, 13.1, 19.0, 16.1, 14.6, 15.9, 22.7, 25.6, 35.9
CG10650, 0, 0.139, 0.149, 0.226, 0.707, 1.22, 8.69, 16.4, 35.6, 40.4, 42.5, 35.7, 37.6
CG10654, 0, 9.18, 6.13, 17.1, 16.2, 14.4, 16.3, 17.9, 10.2, 8.53, 6.92, 5.48, 7.66
CG10657, 0, 0.213, 0.143, 0.161, 0.234, 0.615, 0.903, 1.38, 22.4, 108.0, 49.3, 3.92, 4.55
CG10671, 0, 15.5, 5.47, 4.08, 5.23, 5.92, 9.14, 10.2, 18.9, 13.6, 12.5, 10.9, 11.2
CG10673, 0, 7.1, 8.49, 13.7, 10.9, 9.64, 14.7, 9.01, 8.34, 6.87, 5.37, 4.38, 4.52
CG10674, 0, 25.9, 12.1, 18.3, 22.5, 22.1, 26.1, 28.4, 29.0, 29.8, 24.4, 16.9, 18.4
CG10688, 0, 16.5, 5.15, 5.5, 6.73, 9.16, 17.2, 13.5, 14.1, 14.2, 11.9, 9.55, 10.3
CG10703, 0, 24.8, 32.3, 16.4, 17.5, 17.5, 16.9, 12.6, 15.6, 12.4, 10.1, 12.6, 10.3
CG10725, 0, 0.0567, 0.00802, 0.0238, 0.167, 0.0724, 0.0597, 0.0622, 0.172, 0.533, 14.6, 86.4, 111.0
CG10732, 0, 8.82, 10.2, 9.0, 7.05, 6.35, 5.18, 6.99, 11.7, 10.5, 9.21, 8.14, 7.36
CG10737, 0, 2.27, 0.46, 0.487, 1.74, 2.87, 8.16, 10.4, 11.9, 13.3, 19.9, 16.9, 18.2
CG1074, 0, 17.6, 14.6, 16.7, 13.1, 12.8, 14.0, 8.97, 10.8, 11.0, 7.5, 4.43, 4.73
CG10754, 0, 28.6, 54.2, 65.6, 53.2, 40.6, 36.6, 28.4, 23.8, 18.0, 16.3, 15.6, 14.2
CG10778, 0, 16.8, 10.0, 9.66, 7.79, 7.26, 11.2, 6.51, 6.59, 6.18, 8.48, 9.68, 8.01
CG10795, 0, 26.4, 8.49, 11.6, 11.0, 9.98, 9.39, 8.09, 6.39, 4.69, 4.33, 3.18, 3.07
CG10802, 0, 15.4, 15.2, 10.4, 8.85, 10.2, 11.6, 9.02, 7.78, 7.28, 5.19, 6.01, 6.62
CG10809, 0, 13.3, 12.0, 19.6, 16.8, 12.5, 11.8, 8.52, 6.26, 4.68, 4.74, 3.93, 4.11
CG10827, 0, 0.057, 0.0515, 0.0388, 0.127, 0.213, 0.299, 0.213, 2.57, 8.34, 36.4, 83.4, 77.1
CG10863, 0, 39.1, 13.3, 5.72, 4.09, 8.92, 10.0, 8.4, 15.3, 31.6, 46.7, 69.1, 79.4
CG10874, 0, 14.9, 12.5, 13.2, 13.0, 12.4, 12.8, 12.3, 6.37, 5.84, 7.06, 6.58, 7.23
CG10877, 0, 7.41, 11.6, 10.2, 2.32, 2.91, 4.92, 8.32, 16.4, 15.5, 10.8, 15.5, 15.9
CG10880, 0, 19.8, 30.8, 24.3, 10.1, 11.9, 10.1, 8.61, 6.09, 6.04, 3.35, 9.07, 8.59
CG10898, 0, 8.79, 5.16, 3.96, 4.14, 5.21, 14.0, 14.2, 22.7, 20.5, 22.4, 21.9, 28.5
CG10904, 0, 13.4, 12.3, 12.0, 14.6, 14.4, 14.3, 12.2, 6.59, 6.78, 4.72, 3.77, 5.74
CG1091, 0, 24.6, 30.4, 11.7, 8.59, 12.1, 14.8, 16.6, 13.8, 11.3, 6.01, 10.8, 11.7
CG10911, 0, 0.0351, 0.0242, 0.0369, 0.0344, 0.0398, 0.0701, 0.0695, 0.409, 4.58, 21.2, 73.8, 93.0
CG10915, 0, 21.7, 9.94, 13.8, 15.7, 13.4, 13.0, 9.39, 8.58, 6.22, 6.14, 3.94, 3.97
CG10916, 0, 4.43, 4.19, 2.17, 4.71, 7.65, 16.1, 13.3, 18.2, 17.1, 12.1, 4.82, 6.31
CG10932, 0, 38.3, 1.66, 0.596, 1.66, 3.75, 14.2, 9.79, 13.6, 9.43, 9.27, 17.3, 16.6
CG10953, 3, 2.2, 1.71, 0.521, 0.664, 2.75, 3.56, 3.64, 36.2, 281.0, 530.0, 740.0, 513.0
CG10984, 0, 9.39, 11.0, 10.5, 10.6, 10.7, 9.72, 10.5, 6.07, 6.59, 5.53, 5.69, 6.58
CG10992, 0, 43.2, 49.3, 82.8, 111.0, 96.6, 103.0, 71.6, 62.8, 44.7, 35.8, 23.1, 28.0
CG11007, 0, 34.0, 8.24, 21.1, 21.7, 19.0, 26.4, 21.1, 22.3, 16.8, 11.8, 6.18, 6.91
CG1103, 0, 16.4, 21.4, 26.8, 22.0, 22.2, 18.2, 16.8, 7.78, 4.83, 3.53, 2.12, 3.11
CG1104, 0, 4.74, 8.77, 16.3, 16.8, 17.0, 17.8, 19.2, 19.0, 17.0, 12.5, 9.58, 10.7
CG11050, 0, 15.1, 26.4, 26.1, 19.5, 13.3, 10.7, 8.69, 6.89, 6.31, 7.92, 7.95, 8.54
CG11055, 0, 47.3, 39.8, 33.9, 25.3, 21.4, 14.2, 15.8, 19.5, 13.7, 10.0, 13.9, 13.2
CG11070, 0, 18.4, 2.9, 3.26, 6.21, 8.86, 11.0, 10.9, 9.72, 8.48, 8.22, 6.53, 7.05
CG11076, 0, 29.1, 13.1, 27.1, 34.5, 35.1, 43.5, 38.5, 17.9, 20.5, 16.8, 23.4, 23.3
CG11077, 0, 16.5, 22.7, 22.8, 6.45, 7.45, 6.81, 6.62, 5.37, 6.17, 5.85, 8.22, 11.0
CG11089, 0, 18.5, 6.25, 6.53, 8.84, 9.15, 8.73, 7.39, 7.75, 7.12, 6.35, 8.56, 6.98
CG1109, 0, 20.9, 17.5, 19.4, 16.3, 11.7, 10.2, 7.39, 5.93, 4.24, 4.28, 4.22, 4.09
CG11092, 0, 42.3, 57.1, 43.4, 34.2, 30.4, 20.9, 16.0, 17.0, 13.0, 7.2, 17.7, 14.4
CG11103, 0, 19.4, 21.1, 16.5, 15.1, 12.3, 10.4, 8.06, 10.6, 7.32, 5.17, 8.38, 6.79
CG11107, 0, 23.1, 36.8, 49.5, 48.3, 43.5, 39.9, 22.8, 18.6, 12.1, 8.84, 14.0, 12.1
CG11110, 0, 16.7, 7.8, 9.02, 8.32, 10.3, 11.8, 8.59, 7.13, 7.15, 7.13, 6.89, 8.72
CG11120, 0, 13.6, 20.1, 41.4, 46.7, 29.5, 12.1, 9.74, 4.0, 2.79, 1.67, 3.68, 3.75
CG11123, 0, 15.7, 24.9, 26.1, 25.9, 25.7, 20.0, 16.5, 11.4, 9.05, 7.13, 13.9, 12.8
CG11127, 0, 15.7, 24.5, 33.8, 20.7, 15.5, 16.0, 12.3, 13.5, 8.74, 6.55, 4.97, 5.2
CG11131, 5, 0.165, 0.0387, 0.0644, 0.276, 0.156, 0.237, 0.155, 0.505, 1.32, 26.2, 211.0, 205.0
CG11134, 0, 15.3, 18.9, 16.7, 7.99, 10.2, 19.6, 13.7, 19.5, 21.1, 19.5, 19.7, 19.1
CG11137, 0, 54.3, 70.2, 73.1, 45.1, 54.0, 64.7, 34.6, 25.2, 23.5, 16.9, 16.1, 18.1
CG11148, 0, 14.0, 11.0, 8.77, 9.12, 11.1, 8.25, 14.9, 5.84, 7.16, 5.62, 6.66, 8.75
CG1115, 0, 15.8, 19.4, 19.5, 19.2, 19.8, 27.6, 17.3, 14.5, 14.2, 19.8, 16.8, 18.2
CG11151, 0, 21.7, 11.3, 6.71, 9.71, 13.1, 20.1, 23.3, 33.5, 38.6, 50.6, 53.3, 49.6
CG11164, 0, 41.8, 46.6, 28.6, 19.1, 18.5, 12.6, 10.7, 13.0, 10.7, 5.76, 20.0, 17.0
CG11180, 0, 10.8, 13.9, 13.3, 11.5, 11.1, 5.61, 9.11, 2.95, 4.65, 3.77, 11.2, 12.4
CG11188, 0, 19.1, 20.7, 20.1, 20.9, 25.4, 24.4, 19.5, 8.39, 7.8, 5.98, 10.6, 11.3
CG11190, 0, 26.4, 47.1, 43.8, 27.0, 24.6, 24.3, 14.5, 16.9, 11.1, 7.97, 6.8, 7.02
CG11208, 0, 46.5, 12.4, 22.3, 19.2, 15.3, 19.1, 10.9, 17.2, 14.9, 18.3, 26.0, 20.5
CG11210, 0, 12.4, 2.23, 6.08, 8.48, 7.48, 10.3, 10.3, 11.6, 12.4, 8.47, 6.07, 7.13
CG11242, 0, 32.5, 37.1, 10.0, 6.26, 10.4, 14.8, 17.2, 13.3, 13.1, 6.27, 16.4, 16.5
CG11255, 0, 18.6, 14.1, 19.5, 20.8, 17.5, 29.8, 18.4, 15.9, 20.4, 26.0, 24.5, 21.6
CG11266, 0, 19.6, 31.4, 34.1, 34.7, 27.0, 27.7, 20.7, 19.3, 13.4, 12.1, 10.7, 8.79
CG11267, 5, 108.0, 58.1, 43.3, 47.4, 69.5, 113.0, 117.0, 117.0, 107.0, 74.9, 70.7, 70.5
CG1129, 0, 8.49, 6.9, 10.1, 14.2, 16.1, 25.9, 18.7, 10.3, 7.34, 5.88, 4.61, 5.28
CG11306, 0, 10.9, 7.57, 20.3, 23.2, 23.2, 33.4, 23.8, 16.5, 15.4, 11.1, 7.5, 8.84
CG11334, 0, 18.5, 14.8, 5.62, 5.73, 6.72, 7.13, 6.6, 10.0, 12.9, 15.1, 11.5, 11.3
CG11345, 0, 0.117, 0.172, 0.0421, 0.0078, 0.0818, 0.518, 0.607, 1.88, 8.43, 46.1, 36.5, 26.3
CG11370, 5, 0.11, 0.239, 0.144, 0.573, 1.6, 1.68, 1.6, 1.8, 3.9, 30.8, 231.0, 165.0
CG11376, 0, 5.36, 10.3, 18.6, 11.9, 13.4, 7.08, 17.8, 5.06, 6.2, 3.48, 5.13, 7.09
CG11377, 0, 21.0, 5.81, 18.9, 15.7, 15.9, 15.0, 11.9, 11.1, 9.87, 6.2, 2.99, 3.08
CG11378, 5, 0.131, 0.455, 0.749, 3.21, 2.73, 2.14, 1.41, 6.62, 27.8, 51.4, 89.9, 73.1
CG1140, 0, 6.53, 12.5, 20.2, 12.8, 11.2, 17.1, 10.2, 10.1, 9.39, 9.85, 15.6, 17.7
CG11412, 0, 33.1, 25.3, 24.7, 23.9, 24.4, 34.7, 26.5, 21.8, 19.4, 17.2, 13.8, 13.3
CG11413, 0, 0.038, 0.0105, 0.168, 0.334, 0.239, 1.09, 1.08, 0.288, 0.27, 2.61, 75.8, 66.7
CG11414, 0, 19.8, 9.26, 9.51, 12.6, 13.8, 13.8, 13.9, 13.0, 11.1, 13.4, 13.8, 13.5
CG11417, 0, 33.7, 27.8, 20.6, 25.5, 23.7, 19.3, 12.0, 10.3, 6.01, 4.86, 10.2, 8.11
CG11418, 0, 7.56, 1.56, 3.02, 4.55, 5.37, 10.5, 8.22, 16.3, 21.6, 28.1, 21.0, 19.0
CG1142, 0, 8.28, 18.1, 31.8, 28.6, 19.6, 13.9, 14.6, 4.91, 4.09, 3.61, 5.02, 6.09
CG1143, 0, 0.0841, 0.389, 0.322, 0.196, 0.311, 0.246, 0.179, 1.78, 13.6, 41.0, 39.9, 30.2
CG11444, 0, 54.2, 87.1, 49.3, 44.4, 55.2, 81.2, 50.1, 25.7, 26.7, 20.5, 32.8, 28.6
CG11454, 0, 11.5, 7.19, 17.3, 18.1, 15.3, 17.8, 12.3, 11.0, 9.3, 8.74, 7.42, 7.66
CG11455, 0, 6.24, 3.04, 3.25, 5.12, 7.58, 15.6, 15.5, 12.3, 12.4, 12.1, 12.5, 14.9
CG11486, 0, 10.3, 13.8, 10.2, 10.5, 10.0, 7.91, 10.0, 9.91, 10.8, 7.68, 8.26, 8.32
CG11504, 0, 34.7, 30.1, 24.8, 32.2, 31.3, 33.9, 18.5, 20.8, 13.4, 9.47, 13.4, 10.0
CG11523, 0, 44.0, 54.8, 27.1, 24.4, 26.0, 21.8, 19.7, 16.4, 14.6, 9.43, 15.3, 13.5
CG11526, 0, 27.8, 15.4, 12.6, 12.5, 13.7, 16.1, 13.2, 11.5, 9.1, 9.42, 8.09, 9.53
CG11555, 0, 22.2, 24.9, 22.3, 18.4, 21.4, 15.4, 22.4, 9.8, 9.84, 5.97, 9.93, 11.3
CG11563, 0, 19.1, 28.4, 30.8, 27.6, 27.3, 25.9, 21.3, 9.95, 9.22, 5.96, 15.8, 15.6
CG11577, 0, 17.8, 26.4, 15.0, 9.85, 15.1, 19.8, 14.1, 8.41, 8.5, 4.44, 8.6, 10.3
CG11583, 0, 30.7, 51.3, 47.8, 42.0, 42.0, 34.1, 30.7, 16.0, 15.9, 11.1, 27.5, 25.9
CG11584, 5, 0.414, 0.306, 0.186, 0.141, 0.735, 0.379, 0.528, 18.0, 179.0, 380.0, 5.67, 8.23
CG11586, 0, 20.5, 26.6, 25.9, 24.7, 24.2, 23.5, 18.1, 13.8, 12.0, 8.52, 8.91, 9.0
CG11590, 0, 24.2, 12.6, 10.6, 12.2, 9.87, 13.4, 10.6, 9.66, 7.03, 6.43, 5.0, 3.8
CG11593, 0, 23.6, 9.19, 18.7, 13.5, 9.85, 7.36, 7.03, 5.6, 5.47, 5.69, 3.56, 4.22
CG1161, 0, 20.5, 27.5, 32.3, 30.6, 29.0, 35.4, 20.8, 19.1, 18.3, 20.8, 15.8, 15.4
CG11652, 0, 15.9, 30.7, 21.1, 14.4, 21.1, 27.3, 19.1, 13.5, 13.6, 15.1, 10.5, 11.2
CG11660, 0, 21.1, 18.7, 11.1, 13.2, 16.4, 14.4, 12.8, 9.95, 9.16, 6.14, 15.7, 15.0
CG11674, 0, 163.0, 54.4, 17.4, 5.9, 10.5, 6.35, 2.88, 4.66, 1.96, 1.77, 0.768, 1.49
CG11686, 0, 0.912, 0.78, 0.501, 0.721, 1.68, 8.17, 16.7, 33.6, 20.9, 11.4, 12.5, 17.0
CG11696, 0, 24.6, 22.0, 16.5, 17.0, 15.7, 14.1, 7.97, 7.78, 4.77, 4.41, 3.56, 2.92
CG11699, 0, 17.6, 6.44, 16.6, 24.5, 20.6, 23.2, 17.8, 17.0, 15.3, 20.5, 19.0, 17.0
CG11723, 0, 14.3, 15.0, 20.0, 11.1, 9.44, 9.1, 6.45, 4.3, 3.86, 2.96, 2.36, 2.68
CG11739, 0, 9.38, 2.08, 1.04, 2.39, 4.02, 9.68, 13.6, 15.8, 15.6, 23.3, 43.9, 46.2
CG11750, 0, 14.1, 7.69, 13.2, 14.4, 14.9, 14.3, 8.14, 2.25, 2.99, 3.5, 2.86, 4.27
CG11752, 0, 31.1, 19.2, 18.8, 27.3, 29.1, 39.2, 25.6, 37.2, 37.3, 56.9, 60.1, 42.9
CG11753, 0, 18.7, 19.7, 12.6, 12.0, 13.9, 12.8, 9.76, 8.44, 7.12, 5.97, 5.84, 6.81
CG11771, 0, 24.4, 24.5, 8.32, 10.0, 13.6, 19.3, 14.1, 14.1, 12.3, 9.0, 9.71, 10.3
CG11777, 0, 11.4, 17.1, 25.3, 13.9, 12.7, 8.42, 10.1, 3.55, 5.37, 3.07, 2.14, 3.85
CG11779, 0, 53.8, 5.8, 4.26, 3.87, 4.58, 6.63, 7.21, 7.55, 7.17, 6.05, 7.59, 7.36
CG11784, 0, 20.6, 32.9, 30.6, 14.3, 17.6, 21.7, 15.2, 20.3, 20.6, 17.1, 16.9, 16.5
CG11791, 0, 3.41, 9.45, 19.7, 18.7, 13.1, 8.25, 12.1, 7.57, 9.78, 13.9, 17.4, 24.2
CG11811, 0, 37.0, 27.4, 18.5, 22.5, 28.1, 41.3, 31.4, 21.7, 22.4, 24.2, 37.9, 38.9
CG11825, 0, 12.4, 26.5, 15.6, 7.49, 9.79, 11.9, 9.16, 3.36, 4.96, 4.58, 2.64, 3.86
CG11837, 0, 13.7, 9.01, 15.9, 15.4, 16.6, 13.0, 11.0, 6.21, 4.54, 2.93, 8.53, 7.47
CG11852, 5, 0.0587, 0.0426, 0.0708, 0.0577, 0.107, 0.302, 0.0816, 0.136, 0.255, 9.94, 202.0, 185.0
CG11857, 0, 37.2, 37.2, 47.3, 50.2, 51.0, 57.3, 56.4, 32.8, 30.1, 23.5, 20.2, 20.4
CG11858, 0, 17.6, 24.8, 23.2, 9.69, 8.0, 15.4, 15.5, 12.9, 10.7, 8.61, 9.14, 7.97
CG11859, 0, 12.6, 9.34, 22.5, 19.5, 19.6, 17.8, 12.3, 7.5, 7.41, 7.66, 14.8, 14.9
CG11866, 0, 19.4, 12.8, 30.0, 24.7, 19.2, 16.6, 13.3, 11.2, 7.99, 7.93, 5.75, 5.93
CG11876, 5, 26.5, 8.74, 16.2, 22.4, 21.2, 35.7, 27.0, 43.5, 43.0, 65.7, 81.1, 66.2
CG11877, 0, 12.7, 16.1, 24.6, 18.1, 14.0, 13.3, 8.23, 8.26, 7.66, 10.8, 8.46, 7.62
CG11880, 0, 20.0, 10.3, 5.79, 4.34, 6.2, 8.25, 8.36, 10.5, 17.8, 16.3, 7.86, 10.6
CG11885, 0, 23.6, 25.8, 29.3, 16.6, 14.6, 14.8, 10.7, 6.35, 3.55, 2.04, 3.83, 3.34
CG11897, 0, 63.4, 34.6, 13.2, 7.78, 8.18, 5.67, 7.02, 6.75, 9.9, 13.3, 9.12, 9.6
CG11906, 0, 19.1, 18.3, 14.6, 13.0, 11.4, 8.11, 7.01, 5.4, 4.15, 2.97, 3.03, 3.14
CG11911, 5, 0.0552, 0.0621, 0.0474, 0.123, 0.185, 0.308, 0.391, 1.97, 8.24, 60.4, 200.0, 226.0
CG11920, 0, 10.8, 18.9, 16.7, 16.7, 15.9, 13.7, 14.4, 5.55, 6.3, 4.76, 8.65, 10.8
CG11926, 0, 19.0, 23.3, 14.6, 10.9, 12.5, 11.2, 11.1, 8.91, 8.83, 7.0, 10.9, 10.4
CG11927, 0, 15.2, 21.6, 13.0, 14.1, 13.7, 17.4, 13.3, 9.08, 7.47, 6.21, 4.07, 5.4
CG11943, 0, 37.7, 48.7, 49.6, 33.2, 27.0, 19.6, 12.9, 17.0, 10.2, 5.24, 4.52, 5.31
CG11961, 0, 0.78, 2.3, 8.16, 6.35, 5.79, 8.41, 10.9, 14.3, 45.3, 63.9, 32.9, 45.0
CG11964, 0, 17.0, 13.0, 31.1, 29.3, 24.3, 21.0, 13.8, 7.74, 5.18, 5.17, 3.65, 3.54
CG11970, 0, 11.8, 15.7, 13.3, 14.6, 12.3, 8.79, 10.0, 7.91, 6.21, 4.82, 7.7, 6.81
CG11975, 0, 13.9, 15.3, 14.6, 12.8, 12.6, 13.6, 9.77, 8.42, 7.47, 6.12, 10.0, 8.24
CG11980, 0, 43.6, 53.1, 40.0, 31.0, 35.9, 33.9, 40.0, 19.3, 19.4, 14.8, 18.2, 20.7
CG11982, 0, 38.2, 42.2, 21.5, 17.4, 19.1, 21.1, 13.1, 14.4, 10.8, 7.94, 7.15, 7.25
CG11984, 0, 50.7, 33.0, 8.55, 8.46, 13.0, 19.5, 15.2, 23.7, 19.2, 16.9, 20.3, 16.6
CG11985, 0, 49.2, 91.4, 105.0, 70.0, 69.7, 80.2, 72.2, 31.3, 27.0, 22.1, 19.3, 22.4
CG11986, 0, 9.66, 14.6, 20.0, 14.6, 13.9, 10.1, 11.9, 4.05, 4.62, 2.62, 2.85, 4.77
CG11999, 0, 44.4, 38.9, 26.1, 35.0, 40.1, 57.6, 26.8, 32.4, 20.2, 16.6, 11.8, 10.2
CG12004, 0, 8.67, 9.85, 12.3, 7.79, 6.45, 5.58, 8.04, 9.76, 12.2, 11.2, 6.99, 8.56
CG12006, 0, 31.8, 62.2, 108.0, 56.6, 46.1, 39.1, 36.4, 14.1, 8.65, 4.71, 3.81, 6.42
CG12007, 0, 8.43, 8.31, 12.0, 9.79, 8.26, 11.7, 9.51, 7.03, 7.23, 8.0, 6.45, 7.69
CG12011, 2, 1.66, 14.8, 71.7, 279.0, 458.0, 610.0, 478.0, 114.0, 16.6, 8.55, 3.54, 5.97
CG12024, 0, 23.4, 2.99, 3.25, 6.96, 8.35, 11.7, 10.8, 7.19, 7.58, 7.6, 5.85, 6.24
CG12025, 0, 11.7, 12.0, 15.0, 13.6, 14.3, 15.5, 16.7, 10.3, 9.91, 7.98, 5.78, 7.25
CG12034, 0, 36.2, 50.0, 26.7, 9.5, 15.5, 27.2, 20.4, 17.9, 14.0, 11.2, 10.2, 10.7
CG12050, 0, 11.5, 8.7, 14.2, 12.3, 11.3, 9.15, 7.64, 4.4, 4.22, 4.04, 8.41, 9.05
CG12057, 0, 0.017, 0.13, 0.111, 0.188, 0.107, 0.0969, 0.0307, 0.231, 0.376, 5.4, 53.5, 69.7
CG12079, 5, 46.0, 53.0, 46.3, 45.8, 45.2, 75.9, 47.3, 70.4, 75.3, 102.0, 101.0, 92.2
CG12081, 0, 27.0, 34.3, 12.7, 20.1, 23.4, 26.0, 15.1, 20.4, 15.9, 13.9, 15.6, 12.2
CG12082, 0, 47.8, 5.59, 12.0, 26.2, 19.5, 17.2, 11.2, 7.93, 3.76, 2.41, 1.22, 1.37
CG12084, 0, 17.7, 12.2, 9.66, 10.7, 11.4, 11.1, 11.6, 11.3, 9.53, 9.54, 7.38, 8.16
CG12090, 0, 8.87, 5.15, 9.74, 10.7, 10.3, 11.1, 10.2, 10.6, 9.9, 10.8, 9.65, 9.38
CG12091, 0, 46.3, 20.1, 42.6, 45.8, 45.0, 56.1, 46.9, 51.6, 46.2, 52.1, 47.2, 44.1
CG12093, 0, 13.6, 7.1, 17.4, 13.1, 12.9, 15.5, 11.0, 9.74, 9.31, 9.57, 6.25, 6.4
CG12099, 0, 15.8, 15.3, 19.6, 26.3, 27.0, 28.4, 35.3, 25.9, 25.8, 22.7, 20.6, 21.7
CG12104, 0, 17.1, 15.9, 10.2, 14.1, 14.7, 17.3, 14.1, 12.9, 9.32, 6.05, 6.7, 5.75
CG12107, 0, 31.9, 7.84, 23.8, 24.9, 25.3, 30.4, 25.9, 20.3, 19.3, 14.4, 10.2, 10.9
CG12116, 0, 0.129, 0.106, 0.0455, 0.068, 0.105, 0.268, 0.24, 3.3, 11.4, 14.3, 45.8, 45.2
CG12121, 0, 22.5, 32.7, 24.0, 25.0, 25.2, 20.3, 21.6, 16.8, 14.3, 8.61, 14.0, 13.8
CG12125, 0, 27.3, 9.1, 8.53, 9.33, 8.44, 10.8, 8.27, 14.5, 7.88, 4.66, 3.28, 3.45
CG12128, 0, 15.4, 10.3, 11.0, 14.0, 14.8, 14.0, 11.7, 7.94, 6.82, 4.88, 8.01, 7.44
CG12129, 0, 23.6, 24.6, 9.61, 7.65, 10.1, 7.23, 10.4, 4.18, 5.09, 2.89, 3.78, 5.19
CG12134, 0, 13.6, 15.2, 20.4, 24.2, 22.2, 25.8, 13.6, 11.3, 7.13, 4.2, 6.65, 4.62
CG12140, 0, 23.6, 9.61, 2.49, 2.88, 4.02, 11.4, 11.7, 13.1, 12.3, 14.2, 12.5, 14.6
CG12155, 0, 26.1, 9.0, 12.4, 16.0, 14.2, 10.9, 6.93, 10.7, 7.32, 5.32, 3.58, 3.5
CG12162, 0, 22.3, 18.8, 17.9, 20.1, 17.7, 22.5, 15.5, 16.7, 13.0, 14.8, 11.9, 10.7
CG12163, 0, 9.91, 18.8, 25.6, 21.4, 16.2, 14.3, 11.4, 12.8, 15.8, 15.3, 9.68, 9.27
CG12164, 5, 0.42, 0.194, 0.218, 0.411, 0.892, 1.1, 1.8, 33.8, 186.0, 92.7, 2.31, 3.21
CG12170, 0, 14.3, 5.15, 6.52, 9.24, 9.38, 15.0, 8.56, 16.4, 13.4, 15.8, 13.3, 12.4
CG12171, 0, 47.6, 31.2, 10.1, 8.28, 12.8, 15.0, 9.32, 15.0, 14.7, 30.4, 79.0, 80.7
